rank,island_id,faces,summed_uv_area,min_u,min_v,max_u,max_v
56,6,29,0.000777661208260616,0.055050160735845566,0.8610910773277283,0.08383113890886307,0.9194380640983582
57,119,29,0.001018967791779346,0.907985270023346,0.35687172412872314,0.9478324055671692,0.39887383580207825
58,184,29,0.00041548014652903476,0.8361203670501709,0.7346882820129395,0.8599449396133423,0.7842265963554382
59,711,28,0.004536780248029563,0.6598445773124695,0.0011370971333235502,0.7625927329063416,0.0973522886633873
60,178,27,0.0006981889589927626,0.2129693180322647,0.49333932995796204,0.23391586542129517,0.5597755312919617
61,244,27,0.0011668010183125688,0.8571781516075134,0.9056199789047241,0.8991562128067017,0.947832465171814
62,249,27,0.0006440275848529353,0.8571019768714905,0.5125629305839539,0.8896914720535278,0.5989868640899658
63,283,27,0.0015002030404343003,0.8347182869911194,0.771281898021698,0.8640012741088867,0.8653534650802612
64,13,26,0.002723218324229837,0.17366528511047363,0.5727306008338928,0.21498624980449677,0.6760573983192444
65,177,26,0.0004257206769411326,0.8974680304527283,0.3946523666381836,0.9167337417602539,0.44890210032463074
66,603,26,0.0006317699821485334,0.3415135443210602,0.7164100408554077,0.3691273033618927,0.7652969360351562
67,7,25,0.001090716663000979,0.09109270572662354,0.8690629005432129,0.12304245680570602,0.9221422672271729
68,20,25,0.0020846371808493913,0.49930068850517273,0.4052524268627167,0.5327332019805908,0.50569087266922
69,30,25,0.0023631443922909057,0.728759229183197,0.8403562903404236,0.8193815350532532,0.8869872689247131
70,120,25,0.0011860507365517303,0.0010503074154257774,0.8999452590942383,0.04191555455327034,0.9424239993095398
71,143,25,0.0005346758425872622,0.8830722570419312,0.6555050015449524,0.9113253355026245,0.7166208028793335
72,185,25,0.00030099803032701544,0.9771595597267151,0.3518749475479126,0.9911000728607178,0.3853526711463928
73,245,25,0.0009676079833589313,0.7960588335990906,0.903962254524231,0.834254801273346,0.9464803338050842
74,5,24,0.003723294506531971,0.5524840354919434,0.7529011368751526,0.6490151882171631,0.8085646033287048
75,38,24,0.0005178657964304278,0.447731614112854,0.2726506292819977,0.46783170104026794,0.3190990388393402
76,70,24,0.0038262516294809146,0.22495894134044647,0.8573087453842163,0.29881736636161804,0.9383676648139954
77,9,23,0.000753310934719309,0.919899046421051,0.2953658998012543,0.9505366683006287,0.33667659759521484
78,10,23,0.0021381982600967575,0.5435268878936768,0.7173521518707275,0.6422545313835144,0.7517757415771484
79,34,23,0.0005337599864141396,0.6169803142547607,0.9662713408470154,0.6422544717788696,0.9965085983276367
80,123,23,0.0008526117012830348,0.9182170629501343,0.14055447280406952,0.9437760710716248,0.1825355440378189
81,171,23,0.001522738521964051,0.8758498430252075,0.3454623222351074,0.9059168696403503,0.4164513051509857
82,259,23,0.000951096677372476,0.8349913954734802,0.8669980764389038,0.8640013337135315,0.9167337417602539
83,276,23,0.0006741040595135139,0.15258555114269257,0.5179399251937866,0.1717185527086258,0.5814093351364136
84,558,23,0.0004293261641841184,0.5162954926490784,0.9540635347366333,0.5340853333473206,0.9897480010986328
85,165,22,0.00100236158510425,0.14539115130901337,0.8784985542297363,0.1784791499376297,0.9248464703559875
86,32,21,0.0025645237889548866,0.5093087553977966,0.23116326332092285,0.6165642738342285,0.2663666009902954
87,39,21,0.0002910230408428305,0.18384826183319092,0.9656489491462708,0.19876086711883545,0.9965085983276367
88,156,21,0.000405173147887794,0.9563815593719482,0.6034548282623291,0.981635332107544,0.6409024000167847
89,169,21,0.0010822359269528903,0.5154207944869995,0.8774750232696533,0.5421980023384094,0.9248464703559875
90,64,20,0.000637868797948471,0.8153901696205139,0.8566065430641174,0.8369590044021606,0.914029598236084
91,8,19,0.0010087913146019645,0.18163666129112244,0.6619893908500671,0.21092987060546875,0.7193250060081482
92,43,19,0.002951344017039337,0.23171070218086243,0.10294818133115768,0.3623667061328888,0.14197206497192383
93,191,19,0.0021942139519630643,0.871382474899292,0.15579362213611603,0.9032126665115356,0.24202856421470642
94,494,19,0.0005965533169227655,0.9018199443817139,0.3041238486766815,0.9194380640983582,0.3542540669441223
95,51,18,0.0024233959881625466,0.8489833474159241,0.4054950773715973,0.9005084037780762,0.49352186918258667
96,285,18,0.00037110528581110747,0.7865833044052124,0.005781124345958233,0.800451934337616,0.05138034000992775
97,293,18,0.0002924856053647673,0.6773691177368164,0.041180770844221115,0.6868743300437927,0.090591661632061
98,443,18,0.0011383489982055295,0.9107581973075867,0.7870782613754272,0.9505366683006287,0.8288463354110718
99,684,18,0.0011074482325339474,0.131357803940773,0.917129635810852,0.16766221821308136,0.9572972655296326
100,41,17,0.005649057008688452,0.5426726937294006,0.0015770355239510536,0.6490150690078735,0.06760569661855698
101,116,17,0.00099174477333408,0.06318560242652893,0.919914722442627,0.10276074707508087,0.9600014686584473
102,187,17,0.004095771915968882,0.2937677502632141,0.639729917049408,0.3556061387062073,0.7409588694572449
103,294,17,0.0005184487767273538,0.7284216284751892,0.5920584201812744,0.7436630725860596,0.6463108658790588
104,299,17,0.0010132835326883693,0.430318683385849,0.6211281418800354,0.4516063332557678,0.700395405292511
105,329,17,0.0018373080229929784,0.3007737696170807,0.8737631440162659,0.34614139795303345,0.9248464703559875
106,461,17,0.0010296318140263216,0.013509866781532764,0.9430776834487915,0.050028249621391296,0.981635332107544
107,462,17,0.0010115504355185934,0.0989077240228653,0.9447942972183228,0.13521148264408112,0.9829874038696289
108,466,17,0.0007871199139977136,0.8591654300689697,0.949401319026947,0.8910435438156128,0.9870437383651733
109,685,17,0.0010101832220126283,0.7801550626754761,0.9478379487991333,0.8166773319244385,0.9856916666030884
110,691,17,0.0007820935801650108,0.9498631358146667,0.7719852328300476,0.981635332107544,0.809916615486145
111,67,16,0.00041137399216939485,0.1264486163854599,0.8739864230155945,0.14197206497192383,0.9194381237030029
112,181,16,0.0014508574371561167,0.8677099943161011,0.8231552839279175,0.895099937915802,0.9059168696403503
113,296,16,0.00027545946268103805,0.25705578923225403,0.38889145851135254,0.2731271982192993,0.4353809654712677
114,444,16,0.0009818603047628827,0.2940680682659149,0.9206097722053528,0.32991600036621094,0.9600014686584473
115,662,16,0.0009099280825473066,0.19531597197055817,0.8726018071174622,0.22039470076560974,0.9221422672271729
116,263,15,0.00029131984596197924,0.5343977212905884,0.9623702764511108,0.5557191967964172,0.9938043355941772
117,272,15,0.00032553755204833834,0.5291033387184143,0.15296109020709991,0.5530149340629578,0.17983122169971466
118,304,15,0.0004913212197221739,0.40803834795951843,0.6566368341445923,0.424564003944397,0.7112123370170593
119,504,15,0.002233039753668009,0.09524182975292206,0.21123690903186798,0.13250724971294403,0.3272117078304291
120,507,15,0.0003435585126609908,0.59066241979599,0.9683380126953125,0.6152122616767883,0.9965086579322815
121,657,15,0.0009817902281934465,0.20767389237880707,0.924748957157135,0.2406764030456543,0.9640577435493469
122,659,15,0.0009534388736787136,0.24757613241672516,0.9359753131866455,0.2798877954483032,0.9748746752738953
123,664,15,0.0009441005693027194,0.7629785537719727,0.8830999732017517,0.7936913371086121,0.927550733089447
124,121,14,0.0008733040797430647,0.9113505482673645,0.6459246873855591,0.9410718679428101,0.6882264018058777
125,147,14,0.00041142671126337405,0.6560192704200745,0.9604328870773315,0.6787615418434143,0.9924522638320923
126,665,14,0.0008428599769993994,0.959342896938324,0.12227550148963928,0.989747941493988,0.15819743275642395
127,26,13,0.00015863853925446314,0.14803451299667358,0.3147432804107666,0.16090168058872223,0.3623667359352112
128,57,13,0.0004006051291914406,0.9577015042304993,0.0010604484705254436,0.97487473487854,0.03921131789684296
129,130,13,0.0010346886049124038,0.9211058616638184,0.6054047346115112,0.9532408714294434,0.6463108658790588
130,155,13,0.00029982679493301134,0.9592570066452026,0.08570961654186249,0.9748747944831848,0.12304238975048065
131,164,13,0.0006143475778317142,0.0016577611677348614,0.7223476767539978,0.03245072811841965,0.7842265367507935
132,232,13,0.0012768359541485697,0.3653123378753662,0.06056709960103035,0.39211326837539673,0.1257466971874237
133,262,13,0.00030286695637293803,0.6161104440689087,0.0701780915260315,0.6381981372833252,0.09464803338050842
134,432,13,0.0008078309974415276,0.9569913148880005,0.6860663890838623,0.9897480010986328,0.7220292687416077
135,433,13,0.00106149395597388,0.913328230381012,0.4750758111476898,0.9532408118247986,0.5165078639984131
136,453,13,0.0008934417831509833,0.40755054354667664,0.9159741401672363,0.43943724036216736,0.9559451341629028
137,454,13,0.0008719251088074031,0.8258852958679199,0.91908198595047,0.8572407960891724,0.9586492776870728
138,579,13,0.001096368014743554,0.8411953449249268,0.487771600484848,0.8680576682090759,0.5787050724029541
139,654,13,0.0010627929763220578,0.9116889834403992,0.40070950984954834,0.9518887400627136,0.4421415627002716
140,667,13,0.0010559931018008228,0.7272084355354309,0.8840455412864685,0.7585363388061523,0.927550733089447
141,679,13,0.0008690778599387272,0.9245896339416504,0.4334873557090759,0.9559451937675476,0.4732401967048645
142,715,13,0.0005334596693591202,0.001971800345927477,0.28963756561279297,0.012169023044407368,0.3785921335220337
143,753,13,0.0003915429462004738,0.6283991932868958,0.24697884917259216,0.6463108658790588,0.31233853101730347
144,117,12,0.000916524876550362,0.47717857360839844,0.9193524122238159,0.5151557326316833,0.9586493372917175
145,153,12,0.00031317457315083175,0.7164261937141418,0.9615285396575928,0.7314940690994263,0.9924522638320923
146,196,12,0.0006492328639447348,0.7624018788337708,0.001929489546455443,0.7842265367507935,0.056788839399814606
147,307,12,0.0002677435805691353,0.9768744111061096,0.19339489936828613,0.991100013256073,0.22715526819229126
148,324,12,0.000884127123615075,0.23700805008411407,0.4211519956588745,0.25554966926574707,0.5002825260162354
149,338,12,0.002019874159373103,0.8687114119529724,0.4960462152957916,0.9167338013648987,0.5611276030540466
150,380,12,0.00030559983364764065,0.6079304814338684,0.20730531215667725,0.6300854682922363,0.26771873235702515
151,402,12,0.0007351683384269059,0.9484061002731323,0.16036920249462128,0.9735226631164551,0.19876091182231903
152,431,12,0.0007659438530129847,0.4032776653766632,0.9541828632354736,0.4340288043022156,0.989747941493988
153,467,12,0.0010386663623842551,0.3340476155281067,0.9200587868690491,0.3691273033618927,0.9600014686584473
154,656,12,0.0008113165222081165,0.34492024779319763,0.9647133946418762,0.375887930393219,0.9965085387229919
155,725,12,0.00027965193140744304,0.5698542594909668,0.47291868925094604,0.590874195098877,0.5002824664115906
156,58,11,0.0002591859449427858,0.9290552735328674,0.5559568405151367,0.9424239993095398,0.5962826013565063
157,65,11,0.0004869070312660817,0.28727078437805176,0.4711429178714752,0.3028736710548401,0.5273247361183167
158,168,11,0.0005337896179096191,0.3004242181777954,0.3824971914291382,0.3258596956729889,0.4921697676181793
159,242,11,0.0009120839205494224,0.9412438869476318,0.04442351311445236,0.9789310097694397,0.08247897773981094
160,254,11,0.00036048955640310965,0.9304139018058777,0.8265545964241028,0.9437760710716248,0.8667054772377014
161,258,11,0.00016686894967321564,0.9796196818351746,0.5831940174102783,0.9897480010986328,0.6152121424674988
162,261,11,0.0004204220684127513,0.4690406918525696,0.19663217663764954,0.4867613911628723,0.24202851951122284
163,308,11,0.000253543610561735,0.6939874291419983,0.966576337814331,0.7098603248596191,0.9951564073562622
164,434,11,0.0008775783839318763,0.5215988755226135,0.9206631183624268,0.5543670654296875,0.9600014686584473
165,483,11,0.0009309891379505331,0.9425005316734314,0.6492211222648621,0.9735226035118103,0.6882264614105225
166,488,11,0.00047073309665979224,0.12640012800693512,0.40612128376960754,0.13521148264408112,0.48946553468704224
167,514,11,0.0003026740103521733,0.002067702356725931,0.6620410680770874,0.013521180488169193,0.7139165997505188
168,546,11,0.00018726936369262148,0.9028233289718628,0.9192889332771301,0.9113253355026245,0.9586493372917175
169,655,11,0.0008737367158531129,0.4418240487575531,0.9304150938987732,0.4745922386646271,0.9694662690162659
170,688,11,0.0009300203132944773,0.3706068694591522,0.92752605676651,0.4015780985355377,0.9667620658874512
171,14,10,0.00029576138340958735,0.16149793565273285,0.2784878611564636,0.17847920954227448,0.3042258322238922
172,19,10,0.0008770215350467781,0.0012261358788236976,0.19221283495426178,0.01757754385471344,0.28935256600379944
173,33,10,0.0027773230619185796,0.8599530458450317,0.7463245987892151,0.9032126665115356,0.8329026699066162
174,104,10,0.00031605018072689006,0.8939363956451416,0.9532965421676636,0.9072690606117249,0.9883958101272583
175,118,10,0.0008257778407685379,0.9432592391967773,0.3669043481349945,0.9735227227210999,0.40563443303108215
176,157,10,0.0002578148437959449,0.3366478383541107,0.07704322040081024,0.356958270072937,0.1027606800198555
177,209,10,0.0009977406187908489,0.6529158353805542,0.014770819805562496,0.6760573983192444,0.08518322557210922
178,227,10,3.81394043297012e-05,0.1561395525932312,0.01879146695137024,0.1595495343208313,0.04056347534060478
179,246,10,0.0008610431752558156,0.942474901676178,0.7263801693916321,0.9735226631164551,0.7652969360351562
180,260,10,0.0002501220146884364,0.2769510746002197,0.6379151940345764,0.29340890049934387,0.6747052073478699
181,274,10,0.0002858319606400428,0.0008256386499851942,0.0019366847118362784,0.008112682029604912,0.0594930574297905
182,281,10,0.000212283375583322,0.9753627181053162,0.1602281928062439,0.9829874038696289,0.19470450282096863
183,383,10,0.0001495453402453606,0.18240348994731903,0.8749355673789978,0.19200031459331512,0.9180858731269836
