rank,island_id,faces,summed_uv_area,min_u,min_v,max_u,max_v
1553,1106,3,3.641948135779671e-05,0.7982017993927002,0.967793881893158,0.8029780983924866,0.9765350818634033
1554,1132,3,5.647561645893973e-06,0.450935035943985,0.9539369344711304,0.45207545161247253,0.9642848968505859
1555,1149,3,1.191675799816494e-06,0.15116170048713684,0.9176657199859619,0.15134239196777344,0.9345623254776001
1556,1159,3,3.696781973872021e-07,0.42273369431495667,0.9806400537490845,0.42284682393074036,0.9857456088066101
1557,1216,3,4.695437665347413e-07,0.23237331211566925,0.9806401133537292,0.23250363767147064,0.9860755205154419
1558,1240,3,9.352759120062615e-06,0.9805991649627686,0.5573446154594421,0.9868795275688171,0.5594249367713928
1559,1254,3,2.9955203206810666e-06,0.9688326716423035,0.9612636566162109,0.9762189984321594,0.9619647264480591
1560,1263,3,1.273422161940374e-05,0.39363694190979004,0.9677938222885132,0.3960150182247162,0.9770023226737976
1561,1270,3,3.180289434467909e-06,0.6290690898895264,0.9806401133537292,0.6308428049087524,0.9853707551956177
1562,1277,3,7.509862683718893e-06,0.9805991053581238,0.6189275979995728,0.9867785573005676,0.6209694147109985
1563,1298,3,1.7305583856597195e-05,0.9805991649627686,0.8373354077339172,0.9863772988319397,0.8413066864013672
1564,1303,3,4.339715997581095e-05,0.34458595514297485,0.967793881893158,0.35114917159080505,0.976834237575531
1565,1336,3,1.0629555341257202e-05,0.12951000034809113,0.9677938222885132,0.1317204385995865,0.9773439168930054
1566,1362,3,4.540189265078709e-05,0.5808180570602417,0.9539369344711304,0.5865541696548462,0.963888943195343
1567,1389,3,9.274808961734493e-05,0.7167552709579468,0.9377778172492981,0.7228718400001526,0.9498125314712524
1568,1392,3,1.2397035042965854e-06,0.8967698812484741,0.9894641637802124,0.8972559571266174,0.9923496842384338
1569,1397,3,3.61505805752671e-05,0.9688326120376587,0.5329487323760986,0.9766501188278198,0.5388716459274292
1570,1400,3,5.3353651008336556e-06,0.9688327312469482,0.8922146558761597,0.9762706160545349,0.8932702541351318
1571,1405,3,5.796095194909867e-07,0.9909420609474182,0.5984928607940674,0.9931561946868896,0.5988490581512451
1572,1408,3,6.2092451447171015e-06,0.25243914127349854,0.9677937626838684,0.2536594569683075,0.9772891402244568
1573,1409,3,3.5119324676813335e-05,0.9688326716423035,0.5647789239883423,0.9766496419906616,0.5697838068008423
1574,1414,3,0.00010402185209379411,0.9538223147392273,0.7389489412307739,0.9645304083824158,0.7483925223350525
1575,1421,3,5.382520313901296e-07,0.5175254940986633,0.9894641637802124,0.5178354978561401,0.9929039478302002
1576,1439,3,0.00010375755526936814,0.9180300831794739,0.8816153407096863,0.9320533871650696,0.8886928558349609
1577,1447,3,0.00010357545937189627,0.8670147061347961,0.5425344109535217,0.8901165127754211,0.5505504012107849
1578,1466,3,0.00012877599179894617,0.7634250521659851,0.8706485629081726,0.7690715193748474,0.8910972476005554
1579,1470,3,4.3704719706383344e-05,0.6895896792411804,0.967793881893158,0.6965487599372864,0.9765395522117615
1580,1506,3,3.937407402787585e-06,0.9805992245674133,0.7864071726799011,0.9865550398826599,0.7877116799354553
1581,1512,3,7.93241563368241e-06,0.9688326716423035,0.3550059497356415,0.9771132469177246,0.35668233036994934
1582,1560,3,6.252570839748728e-06,0.8242354393005371,0.9539369344711304,0.825518786907196,0.9638814330101013
1583,1569,3,2.0970859768709715e-06,0.11210289597511292,0.980640172958374,0.11258148401975632,0.9862507581710815
1584,1582,3,4.540907853733955e-06,0.9805991053581238,0.18856965005397797,0.9876208901405334,0.1896185725927353
1585,1588,3,1.2843174385324119e-05,0.9688326716423035,0.9509338140487671,0.9761072397232056,0.9541323184967041
1586,1609,3,4.121359806319447e-06,0.9661920666694641,0.9894641041755676,0.9681799411773682,0.9921585321426392
1587,1619,3,0.0001130950420016319,0.8366197347640991,0.43921488523483276,0.8624160289764404,0.445293664932251
1588,1634,3,1.5361935341573485e-05,0.9805992245674133,0.7939398884773254,0.9864338636398315,0.7975886464118958
1589,1655,3,1.0295500773693789e-05,0.9688327312469482,0.513435959815979,0.9768897294998169,0.5156281590461731
1590,1661,3,7.572967860269841e-05,0.8946393132209778,0.778157651424408,0.913399875164032,0.7819947004318237
1591,1680,3,3.788848605879025e-05,0.7277572751045227,0.9677938222885132,0.7327246069908142,0.976593554019928
1592,1683,3,0.00014100754043333552,0.9365820288658142,0.8303925395011902,0.9495112895965576,0.8380591869354248
1593,1716,3,2.206313805430682e-06,0.5337136387825012,0.9806401133537292,0.5346215963363647,0.9855567812919617
1594,1738,3,6.966974179789531e-07,0.9909420609474182,0.24194350838661194,0.9934394359588623,0.24241521954536438
1595,1766,3,5.094734399069267e-05,0.3990893065929413,0.967793881893158,0.4063025712966919,0.9767572283744812
1596,1776,3,6.977642182492971e-05,0.9180300235748291,0.11590955406427383,0.9333157539367676,0.11856503784656525
1597,1779,3,4.2889147499280966e-05,0.9180300235748291,0.27164366841316223,0.9330126643180847,0.27543243765830994
1598,1802,3,0.00016095377501557095,0.9365819692611694,0.3171178102493286,0.9499183297157288,0.32801538705825806
1599,1810,3,9.584995769529314e-05,0.6832242608070374,0.8959178328514099,0.6903819441795349,0.9131445288658142
1600,1861,3,2.6516888506009084e-05,0.9805992245674133,0.0068185352720320225,0.987663745880127,0.012588032521307468
1601,1863,3,6.090599384833695e-07,0.2595617473125458,0.9806401133537292,0.25978735089302063,0.9860427379608154
1602,1877,3,3.2933449602978726e-06,0.9688326716423035,0.9572067260742188,0.9762159585952759,0.9581894278526306
1603,1879,3,2.3081498490284957e-07,0.7465142607688904,0.9894641637802124,0.7466481328010559,0.9926498532295227
1604,1880,3,2.9596235684437033e-07,0.7056450843811035,0.9894641637802124,0.7058068513870239,0.9926949739456177
1605,1882,3,4.769033367324482e-06,0.5278443694114685,0.9894642233848572,0.5290090441703796,0.9928500056266785
1606,1884,3,1.0136926480441844e-06,0.23557788133621216,0.9806401133537292,0.23681925237178802,0.986017107963562
1607,1911,3,1.7164098800037664e-06,0.6820865273475647,0.9806401133537292,0.6827717423439026,0.9853570461273193
1608,1918,3,6.289490984112689e-05,0.36147812008857727,0.8706486225128174,0.36447247862815857,0.892219603061676
1609,1919,3,0.00013233227552689186,0.9180300831794739,0.8012447953224182,0.9321961998939514,0.8081477284431458
1610,1921,3,5.0425373698814724e-05,0.2839686870574951,0.9677938222885132,0.2897680401802063,0.977017343044281
