rank,graph_id,vertices,faces,triangles,min_x,min_y,min_z,max_x,max_y,max_z,material_face_counts
40,43,138,141,272,0.014892578125,0.3210449253646543,-0.16674806630821243,0.121337890625,0.44458007083621137,0.07983397034168076,"{""0"": 141}"
41,34,131,140,258,-0.077880859375,-0.02319334167060714,0.4050292978888139,0.035400390625,0.10473634745149517,0.46850585661102306,"{""0"": 140}"
42,2,139,138,264,-0.444580078125,-0.06274414942917367,-0.20629882548908376,-0.295654296875,0.1501464888677965,0.19555663675116358,"{""0"": 138}"
43,58,154,138,263,0.173095703125,0.25805664588616073,-0.21508790719818993,0.183349609375,0.3791503812232097,0.12133787930229908,"{""0"": 138}"
44,69,128,133,250,0.294677734375,-0.34594727434379985,-0.19946287550316474,0.309326171875,-0.2810058581264081,0.02905274670084313,"{""0"": 133}"
45,70,187,130,232,0.306396484375,-0.10180663769027544,0.0671386763251096,0.481689453125,0.08471680730127597,0.3293457006598314,"{""0"": 130}"
46,42,125,128,244,0.014892578125,0.26635742892901065,-0.24926759444206853,0.150634765625,0.4069824162936875,0.17797850338453067,"{""0"": 128}"
47,57,192,128,253,0.166748046875,-0.2756347532778134,0.2507324182999719,0.243896484375,0.08178712033486225,0.4353027370536031,"{""0"": 128}"
48,45,124,127,244,0.064697265625,-0.3649902488565317,-0.3312988121921136,0.180419921875,-0.25170898161102306,0.06323243287754915,"{""0"": 127}"
49,64,126,123,241,0.253662109375,-0.28002929989509834,-0.32250975972353574,0.332763671875,-0.13403321713697577,0.02319337084710508,"{""0"": 123}"
50,38,114,120,222,-0.041259765625,0.28881836134926925,-0.29809571867370427,0.034912109375,0.3796386632202305,0.05737303410094439,"{""0"": 120}"
51,63,111,120,152,0.248291015625,-0.2204589887824227,-0.10083006848843173,0.416259765625,-0.08618163944043845,0.028076175727492964,"{""0"": 120}"
52,37,120,119,233,-0.042236328125,-0.38256836817917367,-0.3063964690397302,0.035400390625,-0.2795410132025183,0.06274415314293419,"{""0"": 119}"
53,39,118,119,228,-0.006591796875,0.2907714867974817,-0.11108399900593588,0.198486328125,0.33666991810788083,0.05688475287228784,"{""0"": 119}"
54,5,117,114,223,-0.370849609375,-0.11840820208984261,0.023681645800786945,-0.229248046875,0.10083009010934792,0.27661132420847667,"{""0"": 114}"
55,47,108,111,204,0.071533203125,-0.3430175884018718,-0.23510740688122544,0.152099609375,-0.28198242158686343,0.006591809243530035,"{""0"": 111}"
56,66,164,102,192,0.271728515625,0.09301758889277119,0.14086912684780217,0.349365234375,0.31616211557527263,0.32348632168994945,"{""0"": 102}"
57,75,139,99,184,0.367919921875,-0.23559570294358068,0.004150400923215258,0.471435546875,-0.021728503085722356,0.2888183603674705,"{""0"": 99}"
58,73,96,83,154,0.314697265625,-0.2976074304443957,-0.2873535041742384,0.331787109375,-0.2619629031856211,-0.09887694069243962,"{""0"": 83}"
59,46,87,82,158,0.066162109375,0.2448730346131872,-0.28051758882874084,0.154541015625,0.3239746048822035,0.021728502594822972,"{""0"": 82}"
60,76,76,78,136,0.374267578125,-0.13549804697104553,-0.002197259702192261,0.408935546875,-0.08325194905907253,0.09985351941346261,"{""0"": 78}"
61,77,101,74,129,0.395751953125,-0.23315430042868465,-0.08178709961037102,0.448486328125,-0.011474603238757748,0.14038085987657112,"{""0"": 74}"
62,25,68,70,122,-0.148193359375,-0.34545899428903315,-0.2268066255245082,-0.122314453125,-0.33178711862738614,-0.10083006336600342,"{""0"": 70}"
63,19,76,67,105,-0.200927734375,-0.37280273410820686,-0.008544905621961826,-0.122314453125,-0.34741210454070826,0.1105957183108656,"{""0"": 67}"
64,59,130,66,127,0.203369140625,0.06420900496075879,0.30639648011698145,0.237060546875,0.11401369053984817,0.47094726281833615,"{""0"": 66}"
65,72,107,63,117,0.314208984375,-0.056884753085722356,0.2497558558426588,0.445068359375,0.08081055779217534,0.3488769527088027,"{""0"": 63}"
66,22,59,45,72,-0.171630859375,0.33178710972716696,-0.12573243742370427,-0.157470703125,0.3557128862175773,0.008056626122124834,"{""0"": 45}"
67,21,53,44,69,-0.172607421875,-0.3381347666601574,-0.023681625844659965,-0.160400390625,-0.3098144498914671,0.07397462291741985,"{""0"": 44}"
68,29,44,41,51,-0.114990234375,0.3293457075110792,-0.017333999646239412,-0.060302734375,0.3493652336173075,0.1003417824788421,"{""0"": 41}"
69,11,61,40,74,-0.321533203125,0.19946290105127595,0.06665038165007872,-0.199951171875,0.21313477238020234,0.23852538190620015,"{""0"": 40}"
70,8,56,36,54,-0.345947265625,-0.08764648116281058,0.07348633195614951,-0.316650390625,-0.052001947308909516,0.13305664289807756,"{""0"": 36}"
71,24,66,33,64,-0.156005859375,0.32104493270680157,0.07788084485078138,0.025146484375,0.35034180441991003,0.24780272034168077,"{""0"": 33}"
72,15,24,25,39,-0.258056640625,0.3273925669943901,-0.2946777497102698,-0.217041015625,0.3508300652442271,-0.2233886867193704,"{""0"": 25}"
73,20,43,22,41,-0.195556640625,-0.38842774200528385,-0.20825193695733563,-0.164794921875,-0.369873055977982,-0.14526365498165827,"{""0"": 22}"
74,28,29,16,27,-0.118896484375,0.21313475366199555,-0.3015136816823159,-0.078857421875,0.24780272604038225,-0.19067383895680154,"{""0"": 16}"
75,60,15,13,13,0.206298828125,-0.2932128969960202,-0.1457519403082575,0.219970703125,-0.28344726563567174,-0.00024412823512651345,"{""0"": 13}"
76,26,8,9,9,-0.147705078125,-0.17993162396643625,0.3811035234900618,-0.135009765625,-0.16674802942672856,0.39916992916378863,"{""0"": 9}"
77,40,5,4,4,0.001708984375,0.24682615863138846,-0.3034668076854581,0.066162109375,0.2727050669730467,-0.25512696504531757,"{""0"": 4}"
78,48,1,0,0,0.074951171875,0.18920899915534004,0.3381347573544126,0.074951171875,0.18920899915534004,0.3381347573544126,{}
