rank,graph_id,vertices,faces,triangles,min_x,min_y,min_z,max_x,max_y,max_z,material_face_counts
791,1065,133,221,221,0.2886962890625,0.21736149489879608,0.5508880615234375,0.292877197265625,0.23652653396129608,0.5845489501953125,"{""0"": 221}"
792,273,129,219,219,-0.21470637619495392,-0.2317200005054474,0.5447235107421875,-0.18362422287464142,-0.2268982231616974,0.5561676025390625,"{""0"": 219}"
793,297,139,215,215,-0.20544429123401642,-0.1678161919116974,0.4372825622558594,-0.20350642502307892,-0.1610412895679474,0.4727287292480469,"{""0"": 215}"
794,741,134,215,215,0.10164643079042435,0.11113739758729935,0.2558746337890625,0.1227569654583931,0.1290283203125,0.2753753662109375,"{""0"": 215}"
795,441,123,214,214,-0.13726806640625,0.1436919867992401,0.2435150146484375,-0.1299591064453125,0.1517181098461151,0.2615509033203125,"{""0"": 214}"
796,841,129,214,214,0.16227728128433228,-0.2558593451976776,0.374298095703125,0.16938786208629608,-0.2475890964269638,0.38597869873046875,"{""0"": 214}"
797,356,126,211,211,-0.1861877292394638,0.02602192386984825,0.2416992038488388,-0.1735381931066513,0.042770348489284515,0.2542572021484375,"{""0"": 211}"
798,202,125,205,205,-0.24215693771839142,-0.2032013237476349,0.44574737548828125,-0.23117060959339142,-0.1843109428882599,0.46392059326171875,"{""0"": 205}"
799,864,126,205,205,0.17250065505504608,-0.2495879828929901,0.548370361328125,0.19883732497692108,-0.2378997504711151,0.557220458984375,"{""0"": 205}"
800,271,129,204,204,-0.21678157150745392,-0.1727142632007599,0.45772552490234375,-0.20309443771839142,-0.1626739799976349,0.49021172523498535,"{""0"": 204}"
801,722,127,203,203,0.08498379588127136,0.292755126953125,0.581878662109375,0.10291287302970886,0.310211181640625,0.6215972900390625,"{""0"": 203}"
802,450,118,202,202,-0.1258544772863388,0.12058255076408386,0.196624755859375,-0.1127777025103569,0.1254577338695526,0.2127685546875,"{""0"": 202}"
803,109,120,199,199,-0.28839111328125,-0.0262928269803524,0.719451904296875,-0.281951904296875,-0.015918759629130363,0.7292633056640625,"{""0"": 199}"
804,942,122,199,199,0.2118072807788849,0.0016851616092026234,0.2856292724609375,0.2337951809167862,0.02266695350408554,0.3123931884765625,"{""0"": 199}"
805,332,121,198,198,-0.1929321587085724,0.2980041205883026,0.6072845458984375,-0.1873169243335724,0.3187255561351776,0.6256561279296875,"{""0"": 198}"
806,20,118,195,195,-0.34185791015625,0.07160183042287827,0.6204681396484375,-0.33123779296875,0.08705898374319077,0.6494293212890625,"{""0"": 195}"
807,495,122,193,193,-0.08831024914979935,0.2145385444164276,0.2770843505859375,-0.0749054029583931,0.2301330268383026,0.29681396484375,"{""0"": 193}"
808,1037,122,192,192,0.2744140625,0.03580859676003456,0.39212799072265625,0.2803955078125,0.054298434406518936,0.40280914306640625,"{""0"": 192}"
809,541,112,189,189,-0.05605316162109375,0.1787414401769638,0.2888641357421875,-0.04144287109375,0.1934356540441513,0.3052825927734375,"{""0"": 189}"
810,1089,114,189,189,0.311279296875,0.02999882400035858,0.5033559799194336,0.32550048828125,0.04435352608561516,0.520294189453125,"{""0"": 189}"
811,522,116,186,186,-0.06896204501390457,-0.349578857421875,0.598388671875,-0.05913156643509865,-0.34173583984375,0.6309661865234375,"{""0"": 186}"
812,475,111,185,185,-0.09923548996448517,-0.28387451171875,0.5376853942871094,-0.08733363449573517,-0.26373291015625,0.5449066162109375,"{""0"": 185}"
813,843,119,183,183,0.1632538139820099,-0.2573547065258026,0.734039306640625,0.17988590896129608,-0.24911494553089142,0.762115478515625,"{""0"": 183}"
814,890,108,181,181,0.18582157790660858,-0.2609862983226776,0.5494728088378906,0.20370487868785858,-0.2549743354320526,0.55963134765625,"{""0"": 181}"
815,704,113,178,178,0.06888581067323685,0.1281890869140625,0.19451904296875,0.0855560377240181,0.1380462646484375,0.2137451171875,"{""0"": 178}"
816,227,103,177,177,-0.2314910590648651,-0.016042746603488922,0.3192596435546875,-0.2264098823070526,-0.0016501325881108642,0.3281097412109375,"{""0"": 177}"
817,1041,113,177,177,0.27471923828125,-0.017566630616784096,0.765472412109375,0.29547119140625,-0.002207706216722727,0.78363037109375,"{""0"": 177}"
818,1097,108,177,177,0.31732177734375,0.012876552529633045,0.47122955322265625,0.3251953125,0.024761242792010307,0.4973592758178711,"{""0"": 177}"
819,510,115,174,174,-0.07807158678770065,0.1240997165441513,0.227264404296875,-0.07012175768613815,0.1339111030101776,0.250640869140625,"{""0"": 174}"
820,325,105,173,173,-0.1951294094324112,0.2532958686351776,0.3022613227367401,-0.1860046535730362,0.2583617866039276,0.3110198676586151,"{""0"": 173}"
